listing_id,city,location_name,latitude,longitude,property_type,price_ksh,bedrooms,bathrooms,area_size_sqm,availability_status,available_from,amenities,date_listed,image_url
HM00041,Nairobi,Eastleigh,-1.293093,36.741665,Townhouse,20692,1,1,60,Vacant,2025-09-12,"CCTV, Water",2025-05-16,https://example.com/images/HM00041.jpg
HM00042,Nairobi,Westlands,-1.252324,36.767054,Townhouse,68063,2,2,98,Vacant,2025-09-12,"Water, WiFi",2025-04-12,https://example.com/images/HM00042.jpg
HM00043,Mombasa,Mvita,-4.038178,39.739883,Bungalow,57228,2,2,64,Vacant,2025-09-12,"Furnished, WiFi, CCTV",2025-08-07,https://example.com/images/HM00043.jpg
HM00044,Nakuru,Kapkures,-0.276725,36.096306,Apartment,23130,2,2,86,Occupied,2025-11-08,"Security, Gym, Water, Electricity, Furnished",2025-07-27,https://example.com/images/HM00044.jpg
HM00045,Eldoret,Riat,0.563909,35.351158,Bungalow,35000,2,2,97,Vacant,2025-09-12,"Furnished, WiFi, Gym",2025-05-17,https://example.com/images/HM00045.jpg
HM00046,Kisumu,Obunga,-0.08507,34.766529,Apartment,25365,2,2,91,Vacant,2025-09-12,"Security, WiFi, Pool, Gym",2025-03-18,https://example.com/images/HM00046.jpg
HM00047,Mombasa,Kongowea,-4.082295,39.719208,Bungalow,25962,2,2,90,Vacant,2025-09-12,"Gym, Parking, Furnished, Water, CCTV",2025-06-27,https://example.com/images/HM00047.jpg
HM00048,Kisumu,Kibuye,-0.080244,34.765831,Studio,31329,1,1,72,Available_from,2025-10-20,"Security, Gym, WiFi, Water",2025-05-19,https://example.com/images/HM00048.jpg
HM00049,Nairobi,Lavington,-1.282134,36.85629,Townhouse,42749,1,1,75,Vacant,2025-09-12,"Pool, WiFi, Furnished, Balcony, Gym, Water",2025-05-13,https://example.com/images/HM00049.jpg
HM00050,Nairobi,South C,-1.318302,36.820803,Bedsitter,19779,0,1,19,Vacant,2025-09-12,"Gym, Furnished, Parking",2025-08-09,https://example.com/images/HM00050.jpg
HM00051,Nairobi,Riverside,-1.267144,36.761342,Apartment,120000,2,2,67,Occupied,2026-01-22,"Furnished, Parking, Water, CCTV, WiFi",2025-06-01,https://example.com/images/HM00051.jpg
HM00052,Nairobi,Lavington,-1.305786,36.859955,Studio,87939,1,1,84,Vacant,2025-09-12,"Balcony, Gym, Pool, Water, WiFi, Electricity",2025-06-02,https://example.com/images/HM00052.jpg
HM00053,Mombasa,Nyali,-4.035133,39.72141,Maisonette,27564,2,2,65,Vacant,2025-09-12,"Pool, Furnished, Water",2025-03-16,https://example.com/images/HM00053.jpg
HM00054,Nairobi,Parklands,-1.263611,36.735549,Bedsitter,89230,0,1,32,Vacant,2025-09-12,"WiFi, Electricity, Balcony",2025-04-14,https://example.com/images/HM00054.jpg
HM00055,Mombasa,Likoni,-4.076591,39.66922,Maisonette,18845,1,1,64,Vacant,2025-09-12,"WiFi, Gym, Furnished, Electricity, Security, Water",2025-09-11,https://example.com/images/HM00055.jpg
HM00056,Nairobi,South C,-1.259943,36.813945,Apartment,120000,2,2,107,Vacant,2025-09-12,"Parking, Furnished, Electricity, Security",2025-08-10,https://example.com/images/HM00056.jpg
HM00057,Mombasa,Nyali,-4.000038,39.713951,Bedsitter,37964,0,1,23,Vacant,2025-09-12,"WiFi, Water, Balcony, Security, Electricity",2025-04-08,https://example.com/images/HM00057.jpg
HM00058,Nairobi,Ngong Road,-1.280003,36.843923,Maisonette,111258,2,2,78,Vacant,2025-09-12,"Pool, Parking, Gym, CCTV, Water",2025-05-19,https://example.com/images/HM00058.jpg
HM00059,Nairobi,Ngong Road,-1.216211,36.870238,Apartment,100761,3,2,101,Vacant,2025-09-12,"Security, Gym, Pool, Balcony, Parking, Furnished",2025-05-23,https://example.com/images/HM00059.jpg
HM00060,Mombasa,Mvita,-4.05057,39.716808,Apartment,46195,1,1,60,Occupied,2025-12-30,"Parking, Pool, Balcony, CCTV, Furnished, Gym",2025-07-12,https://example.com/images/HM00060.jpg
HM00061,Eldoret,Kapsoya,0.549805,35.328826,Studio,29984,1,1,71,Occupied,2026-02-09,"Gym, Pool, Water",2025-06-22,https://example.com/images/HM00061.jpg
HM00062,Nairobi,Parklands,-1.259011,36.879485,Apartment,120000,2,2,86,Vacant,2025-09-12,"WiFi, Parking, CCTV, Security, Water, Gym",2025-08-11,https://example.com/images/HM00062.jpg
HM00063,Eldoret,Langas,0.593831,35.29912,Bungalow,27873,2,2,94,Vacant,2025-09-12,"Electricity, CCTV, Balcony, Furnished",2025-06-29,https://example.com/images/HM00063.jpg
HM00064,Nairobi,Riverside,-1.235373,36.86794,Bungalow,120000,4,3,109,Vacant,2025-09-12,"Water, Pool",2025-08-14,https://example.com/images/HM00064.jpg
HM00065,Nairobi,Westlands,-1.215097,36.804852,Studio,120000,1,1,45,Occupied,2026-01-24,"Furnished, Gym, WiFi",2025-06-10,https://example.com/images/HM00065.jpg
HM00066,Mombasa,Kizingo,-4.031515,39.733694,Townhouse,38864,3,2,95,Vacant,2025-09-12,"Pool, Parking, Furnished, Gym, Security",2025-09-07,https://example.com/images/HM00066.jpg
HM00067,Eldoret,Kapsoya,0.579612,35.297737,Apartment,35000,3,2,81,Vacant,2025-09-12,"Parking, CCTV, Security, Balcony",2025-03-30,https://example.com/images/HM00067.jpg
HM00068,Nairobi,Eastleigh,-1.268318,36.771514,Bungalow,120000,2,2,70,Vacant,2025-09-12,"Balcony, Electricity, Gym, WiFi, Furnished, Security",2025-07-12,https://example.com/images/HM00068.jpg
HM00069,Mombasa,Kizingo,-4.067021,39.641034,Bungalow,60000,4,3,110,Vacant,2025-09-12,"CCTV, WiFi, Balcony, Security",2025-05-19,https://example.com/images/HM00069.jpg
HM00070,Nairobi,South C,-1.296094,36.795398,Bungalow,62382,1,1,67,Vacant,2025-09-12,"Parking, Balcony, WiFi, CCTV",2025-08-07,https://example.com/images/HM00070.jpg
HM00071,Nakuru,Milimani,-0.238938,36.102162,Bedsitter,32599,0,1,25,Vacant,2025-09-12,"Electricity, CCTV, WiFi, Security",2025-08-31,https://example.com/images/HM00071.jpg
HM00072,Kisumu,Kondele,-0.083458,34.803238,Townhouse,42135,1,1,47,Vacant,2025-09-12,"Furnished, WiFi, Security",2025-06-30,https://example.com/images/HM00072.jpg
HM00073,Nairobi,Kileleshwa,-1.225618,36.878998,Bedsitter,70739,0,1,26,Occupied,2025-12-16,"WiFi, Security, Furnished, Electricity, Parking",2025-04-21,https://example.com/images/HM00073.jpg
HM00074,Kisumu,Kondele,-0.062587,34.790695,Bungalow,45000,4,3,136,Vacant,2025-09-12,"Parking, WiFi, Furnished, Electricity, Water",2025-09-04,https://example.com/images/HM00074.jpg
HM00075,Kisumu,Kibuye,-0.08739,34.797569,Bedsitter,12008,0,1,25,Vacant,2025-09-12,"Pool, Security, Electricity, CCTV, Parking, Gym",2025-09-11,https://example.com/images/HM00075.jpg
HM00076,Nairobi,Ngong Road,-1.305999,36.737709,Apartment,84519,2,2,66,Vacant,2025-09-12,"Water, Balcony, Gym, CCTV, Security, WiFi",2025-07-01,https://example.com/images/HM00076.jpg
HM00077,Mombasa,Likoni,-4.076093,39.685637,Apartment,56019,3,2,135,Available_from,2025-09-17,"Electricity, Gym, Pool, Furnished",2025-06-16,https://example.com/images/HM00077.jpg
HM00078,Nairobi,Eastleigh,-1.254664,36.896233,Bedsitter,21357,0,1,26,Vacant,2025-09-12,"Gym, Furnished",2025-09-01,https://example.com/images/HM00078.jpg
HM00079,Nairobi,Parklands,-1.203469,36.738598,Bedsitter,40574,0,1,22,Occupied,2025-12-03,"Pool, Electricity",2025-08-13,https://example.com/images/HM00079.jpg
HM00080,Nairobi,Lavington,-1.280573,36.755084,Studio,17337,1,1,54,Available_from,2025-10-19,"Water, Furnished, Parking, Pool",2025-03-19,https://example.com/images/HM00080.jpg
HM00081,Nairobi,Lavington,-1.249338,36.732683,Bedsitter,20501,0,1,31,Vacant,2025-09-12,"Gym, CCTV",2025-06-16,https://example.com/images/HM00081.jpg
HM00082,Mombasa,Nyali,-4.04932,39.66437,Studio,11622,1,1,78,Vacant,2025-09-12,"Parking, Gym",2025-06-26,https://example.com/images/HM00082.jpg
HM00083,Nairobi,Westlands,-1.261168,36.884649,Apartment,68350,3,2,84,Vacant,2025-09-12,"CCTV, Pool, Security, Electricity",2025-08-15,https://example.com/images/HM00083.jpg
HM00084,Mombasa,Kizingo,-4.0445,39.687322,Townhouse,47651,1,1,80,Occupied,2025-12-06,"Gym, Electricity, Balcony, Water, Pool",2025-06-26,https://example.com/images/HM00084.jpg
HM00085,Nairobi,Westlands,-1.282494,36.783129,Bedsitter,54301,0,1,22,Vacant,2025-09-12,"Furnished, CCTV, Pool, Parking, Electricity",2025-04-09,https://example.com/images/HM00085.jpg
HM00086,Kisumu,Kibuye,-0.066941,34.778946,Studio,45000,1,1,80,Vacant,2025-09-12,"Balcony, Security",2025-09-02,https://example.com/images/HM00086.jpg
HM00087,Eldoret,Langas,0.594171,35.329317,Bedsitter,23411,0,1,29,Vacant,2025-09-12,"Electricity, Water, Gym, Furnished, Parking, Pool",2025-08-05,https://example.com/images/HM00087.jpg
HM00088,Nairobi,South C,-1.251108,36.867228,Studio,120000,1,1,84,Vacant,2025-09-12,"Parking, WiFi, CCTV, Furnished, Water, Security",2025-06-10,https://example.com/images/HM00088.jpg
HM00089,Nairobi,Kileleshwa,-1.215616,36.826275,Bungalow,105175,1,1,46,Vacant,2025-09-12,"Electricity, Balcony, Pool, CCTV, Water, Furnished",2025-06-18,https://example.com/images/HM00089.jpg
HM00090,Nairobi,Eastleigh,-1.22678,36.826491,Apartment,43870,3,2,123,Vacant,2025-09-12,"WiFi, Gym",2025-09-01,https://example.com/images/HM00090.jpg
HM00091,Nairobi,Parklands,-1.266955,36.776438,Studio,30544,1,1,72,Vacant,2025-09-12,"Gym, Pool, WiFi, Parking, Furnished, Electricity",2025-08-16,https://example.com/images/HM00091.jpg
HM00092,Nairobi,Lavington,-1.28383,36.76591,Maisonette,63548,3,2,82,Vacant,2025-09-12,"Water, CCTV, Balcony, WiFi, Security",2025-05-13,https://example.com/images/HM00092.jpg
HM00093,Mombasa,Shanzu,-4.029876,39.678958,Bungalow,14279,3,2,76,Vacant,2025-09-12,"Security, Balcony",2025-08-09,https://example.com/images/HM00093.jpg
HM00094,Nairobi,Ngong Road,-1.285258,36.798855,Bedsitter,33046,0,1,32,Occupied,2026-01-12,"Balcony, Furnished",2025-05-17,https://example.com/images/HM00094.jpg
HM00095,Nairobi,Ngong Road,-1.257124,36.79728,Bedsitter,93309,0,1,25,Vacant,2025-09-12,"Furnished, Pool, CCTV",2025-07-29,https://example.com/images/HM00095.jpg
HM00096,Mombasa,Shanzu,-4.058556,39.720012,Townhouse,28400,3,2,84,Vacant,2025-09-12,"CCTV, Water, Furnished",2025-04-30,https://example.com/images/HM00096.jpg
HM00097,Eldoret,Langas,0.545674,35.312011,Studio,21554,1,1,81,Vacant,2025-09-12,"Security, CCTV, Water, Electricity, Parking, Balcony",2025-07-07,https://example.com/images/HM00097.jpg
HM00098,Mombasa,Shanzu,-4.065279,39.646179,Studio,13438,1,1,74,Vacant,2025-09-12,"Security, WiFi",2025-04-04,https://example.com/images/HM00098.jpg
HM00099,Mombasa,Shanzu,-4.081873,39.705349,Bungalow,46644,2,2,110,Occupied,2025-10-22,"CCTV, Electricity, Security, WiFi, Pool",2025-07-22,https://example.com/images/HM00099.jpg
HM00100,Nairobi,Kilimani,-1.265937,36.867864,Bedsitter,118150,0,1,20,Vacant,2025-09-12,"Parking, Electricity, Gym",2025-07-06,https://example.com/images/HM00100.jpg
HM00101,Mombasa,Mtwapa,-4.075713,39.681014,Bedsitter,28145,0,1,28,Vacant,2025-09-12,"Security, Furnished",2025-06-08,https://example.com/images/HM00101.jpg
HM00102,Nairobi,Ngong Road,-1.285902,36.853035,Townhouse,120000,4,3,109,Vacant,2025-09-12,"Water, Security, WiFi, Pool, Balcony, Electricity",2025-04-18,https://example.com/images/HM00102.jpg
HM00103,Mombasa,Nyali,-4.062138,39.681435,Bedsitter,50285,0,1,34,Vacant,2025-09-12,"Pool, Security, Parking, Water, Balcony",2025-05-01,https://example.com/images/HM00103.jpg
HM00104,Eldoret,Riat,0.60372,35.30349,Maisonette,16089,4,3,127,Occupied,2025-11-06,"Pool, CCTV, Parking, Security, Water, WiFi",2025-04-18,https://example.com/images/HM00104.jpg
HM00105,Mombasa,Kongowea,-4.075398,39.731448,Studio,56746,1,1,55,Occupied,2025-10-23,"Security, Electricity, Gym, WiFi, Water",2025-07-08,https://example.com/images/HM00105.jpg
HM00106,Nairobi,Lavington,-1.282864,36.867466,Bungalow,54236,4,3,146,Vacant,2025-09-12,"Balcony, Pool, CCTV, Furnished",2025-05-06,https://example.com/images/HM00106.jpg
HM00107,Nakuru,Rhoda,-0.2427,36.053653,Bungalow,35419,3,2,81,Occupied,2026-02-21,"WiFi, Furnished",2025-04-26,https://example.com/images/HM00107.jpg
HM00108,Nairobi,Dagoretti,-1.302318,36.80437,Maisonette,120000,3,2,134,Vacant,2025-09-12,"Balcony, Pool",2025-06-19,https://example.com/images/HM00108.jpg
HM00109,Nairobi,Westlands,-1.27501,36.734792,Apartment,116544,3,2,125,Vacant,2025-09-12,"WiFi, Gym",2025-09-10,https://example.com/images/HM00109.jpg
HM00110,Nakuru,Kivumbini,-0.28514,36.050368,Apartment,15998,1,1,54,Vacant,2025-09-12,"Pool, Balcony, Furnished, CCTV, Water, Gym",2025-06-01,https://example.com/images/HM00110.jpg
HM00111,Nairobi,Lavington,-1.269621,36.864963,Bungalow,116565,1,1,76,Vacant,2025-09-12,"Pool, Electricity",2025-04-21,https://example.com/images/HM00111.jpg
HM00112,Nairobi,Kilimani,-1.246223,36.770896,Bungalow,96517,1,1,78,Available_from,2025-09-19,"Pool, CCTV, Parking, Electricity, Balcony, Gym",2025-08-25,https://example.com/images/HM00112.jpg
HM00113,Nairobi,Eastleigh,-1.289562,36.732761,Apartment,116481,2,2,100,Vacant,2025-09-12,"Security, Water, Parking, Pool, WiFi, Balcony",2025-08-27,https://example.com/images/HM00113.jpg
HM00114,Nairobi,Riverside,-1.202302,36.81135,Maisonette,30275,3,2,124,Available_from,2025-09-17,"Electricity, Parking, CCTV, Pool",2025-06-04,https://example.com/images/HM00114.jpg
HM00115,Eldoret,Kiplombe,0.537787,35.339695,Bungalow,35000,2,2,72,Vacant,2025-09-12,"Security, WiFi",2025-04-16,https://example.com/images/HM00115.jpg
HM00116,Nakuru,Kivumbini,-0.241051,36.102032,Bungalow,16675,2,2,104,Vacant,2025-09-12,"WiFi, Furnished, Balcony, Parking, Electricity, CCTV",2025-05-01,https://example.com/images/HM00116.jpg
HM00117,Mombasa,Mvita,-4.080766,39.676071,Bedsitter,23937,0,1,31,Vacant,2025-09-12,"Security, Gym, Parking, CCTV, Water",2025-08-20,https://example.com/images/HM00117.jpg
HM00118,Eldoret,Riat,0.566736,35.337063,Apartment,27752,1,1,68,Vacant,2025-09-12,"Parking, Water, Gym",2025-03-24,https://example.com/images/HM00118.jpg
HM00119,Nairobi,Lavington,-1.226578,36.792276,Bungalow,28214,4,3,109,Vacant,2025-09-12,"Security, Gym, Furnished, WiFi",2025-04-20,https://example.com/images/HM00119.jpg
HM00120,Mombasa,Kizingo,-4.061705,39.670656,Apartment,20031,1,1,78,Vacant,2025-09-12,"Furnished, WiFi, Pool, Security, Electricity, CCTV",2025-08-19,https://example.com/images/HM00120.jpg
HM00121,Nairobi,Riverside,-1.295979,36.753074,Apartment,120000,2,2,88,Available_from,2025-11-05,"Security, Furnished, WiFi, Water",2025-04-25,https://example.com/images/HM00121.jpg
HM00122,Kisumu,Kondele,-0.068567,34.775613,Apartment,45000,4,3,120,Occupied,2025-10-18,"Pool, Security, Gym, Balcony",2025-08-04,https://example.com/images/HM00122.jpg
HM00123,Nairobi,Westlands,-1.31211,36.797687,Townhouse,98277,3,2,124,Vacant,2025-09-12,"Furnished, Water, Security, Gym, Parking, Electricity",2025-07-13,https://example.com/images/HM00123.jpg
HM00124,Kisumu,Kibuye,-0.12845,34.798034,Studio,35895,1,1,56,Occupied,2025-11-14,"Pool, Parking, Furnished, WiFi, Gym",2025-06-01,https://example.com/images/HM00124.jpg
HM00125,Nairobi,Eastleigh,-1.207831,36.76833,Studio,120000,1,1,50,Vacant,2025-09-12,"WiFi, Water, CCTV, Gym, Balcony, Parking",2025-07-22,https://example.com/images/HM00125.jpg
HM00126,Mombasa,Mtwapa,-4.005255,39.656961,Townhouse,60000,2,2,81,Occupied,2026-03-05,"Parking, Furnished",2025-03-27,https://example.com/images/HM00126.jpg
HM00127,Eldoret,Kiplombe,0.521759,35.273189,Studio,20491,1,1,85,Vacant,2025-09-12,"WiFi, CCTV, Gym, Furnished, Security, Electricity",2025-05-31,https://example.com/images/HM00127.jpg
HM00128,Nairobi,Kilimani,-1.30103,36.800656,Bungalow,99685,2,2,80,Occupied,2026-01-01,"Balcony, Water, Security, WiFi",2025-08-06,https://example.com/images/HM00128.jpg
HM00129,Nairobi,Lavington,-1.264023,36.77547,Maisonette,23022,1,1,69,Occupied,2026-01-27,"Water, Security, Pool",2025-05-03,https://example.com/images/HM00129.jpg
HM00130,Kisumu,Kong'onyo,-0.050363,34.772677,Bedsitter,26402,0,1,20,Available_from,2025-10-17,"Electricity, CCTV, Security, Parking, Balcony",2025-05-27,https://example.com/images/HM00130.jpg
HM00131,Nairobi,Riverside,-1.28571,36.73139,Apartment,120000,2,2,106,Vacant,2025-09-12,"Security, Parking, Balcony, Pool, WiFi",2025-08-06,https://example.com/images/HM00131.jpg
HM00132,Nairobi,Dagoretti,-1.285368,36.795679,Bungalow,62118,3,2,114,Vacant,2025-09-12,"Water, Furnished",2025-06-24,https://example.com/images/HM00132.jpg
HM00133,Nairobi,Eastleigh,-1.25306,36.792153,Maisonette,77585,1,1,77,Vacant,2025-09-12,"Water, Security",2025-07-15,https://example.com/images/HM00133.jpg
HM00134,Mombasa,Kongowea,-4.035437,39.696706,Bedsitter,56431,0,1,28,Vacant,2025-09-12,"WiFi, Security, Gym, Pool, CCTV, Water",2025-07-15,https://example.com/images/HM00134.jpg
HM00135,Nakuru,Kapkures,-0.296876,36.057672,Bungalow,40000,2,2,106,Occupied,2025-10-18,"Gym, WiFi, Electricity, Security, Parking, Pool",2025-07-16,https://example.com/images/HM00135.jpg
HM00136,Nairobi,Parklands,-1.227047,36.794632,Townhouse,95151,2,2,104,Vacant,2025-09-12,"Gym, Security",2025-07-01,https://example.com/images/HM00136.jpg
HM00137,Nairobi,Lavington,-1.270755,36.861745,Bungalow,120000,3,2,78,Occupied,2026-02-21,"Pool, Security, Gym",2025-07-28,https://example.com/images/HM00137.jpg
HM00138,Nairobi,Kileleshwa,-1.26484,36.820632,Studio,59160,1,1,61,Vacant,2025-09-12,"Electricity, WiFi, Pool",2025-05-12,https://example.com/images/HM00138.jpg
HM00139,Eldoret,Riat,0.582541,35.327539,Townhouse,21271,3,2,97,Vacant,2025-09-12,"WiFi, Furnished, Balcony, Electricity",2025-06-12,https://example.com/images/HM00139.jpg
HM00140,Eldoret,Kapsoya,0.524854,35.281639,Townhouse,35000,1,1,61,Occupied,2025-12-05,"Pool, WiFi, CCTV",2025-04-20,https://example.com/images/HM00140.jpg
HM00141,Nairobi,Parklands,-1.291286,36.73863,Studio,43854,1,1,59,Vacant,2025-09-12,"Security, Gym, Furnished, CCTV, Pool",2025-03-17,https://example.com/images/HM00141.jpg
HM00142,Eldoret,Kapsoya,0.538829,35.352854,Bungalow,14926,2,2,78,Vacant,2025-09-12,"Furnished, Electricity",2025-07-30,https://example.com/images/HM00142.jpg
HM00143,Kisumu,Milimani,-0.057809,34.752255,Maisonette,14328,4,3,140,Occupied,2025-11-28,"Parking, CCTV, WiFi, Gym",2025-08-17,https://example.com/images/HM00143.jpg
